"Node Id","Route No","Chainage Seq","Route Link No","Chainage"
"242","151427","2","151427801","0"
"243","2240","1","22408001","1737"
"243","113511","2","113511801","662"
"244","2090","1","20900301","3872"
"244","146477","2","146477801","0"
"246","5103","1","51038001","156"
"246","5125","2","51258001","0"
"249","2240","1","22408001","2086"
"249","2997","2","29978001","1037"
"249","5287","3","52878001","0"
"254","264284","1","264284801","27"
"260","2080","1","20808001","3620"
"260","5287","2","52878001","918"
"261","2080","1","20808001","3377"
"262","2080","1","20808001","3329"
"262","2998","2","29981403","1770"
"263","2080","1","20808001","2946"
"263","5019","2","50198002","0"
"263","101905","3","101905801","1377"
"264","2080","1","20808001","3168"
"264","2998","2","29981102","2464"
"270","5159","1","51598001","3325"
"270","132624","2","132624801","236"
"271","196214","1","196214801","2408"
"271","198191","2","198191801","2239"
"276","5445","1","54458001","3154"
"276","218690","2","218690801","0"
"276","231280","3","231280801","0"
"279","5500","1","55000301","12692"
"279","220961","2","220961801","793"
"279","245700","3","245700801","0"
"283","5948","1","59488001","685"
"283","101541","2","101541801","0"
"284","162759","1","162759801","2240"
"284","180896","2","180896801","0"
"285","2900","1","29001108","19911"
"285","5053","2","50538001","0"
"285","5441","3","54418001","808"
"287","2090","1","20908003","27684"
"287","169377","2","169377801","416"
"289","5515","1","55158001","21822"
"289","178201","2","178201801","0"
"290","5499","1","54998001","140"
"290","106879","2","106879801","0"
"290","139960","3","139960801","826"
"291","199973","1","199973801","444"
"291","206173","2","206173801","1273"
"293","124309","1","124309801","514"
"293","164775","2","164775801","0"
"296","5948","1","59488001","975"
"296","128528","2","128528801","0"
"298","2850","1","28500301","7766"
"298","2880","2","28800201","12188"
"304","138549","1","138549801","132"
"304","210721","2","210721801","1321"
"310","2090","1","20900201","4036"
"310","102844","2","102844801","0"
"314","2998","1","29981201","4862"
"314","5293","2","52938001","211"
"314","148906","3","148906801","0"
"317","5500","1","55000201","12008"
"317","140982","2","140982801","0"
"323","2510","1","25100207","3867"
"323","205215","2","205215801","109"
"324","5285","1","52858001","2372"
"324","5286","2","52868001","0"
"324","5300","3","53008001","0"
"325","5856","1","58568001","903"
"325","241536","2","241536801","85"
"327","162660","1","162660801","0"
"327","178422","2","178422801","507"
"328","2880","1","28801104","6239"
"328","2880","2","28801303","6248"
"328","5605","3","56058001","832"
"329","2270","1","22700201","294"
"329","5806","2","58068001","458"
"336","116150","1","116150801","568"
"336","194396","2","194396801","870"
"340","204324","1","204324801","332"
"340","220515","2","220515801","204"
"343","2270","1","22700201","0"
"343","2995","2","29950201","2192"
"343","208953","3","208953801","601"
"344","5444","1","54440502","8032"
"344","5444","2","54448001","8032"
"344","129558","3","129558801","0"
"349","189469","1","189469801","542"
"349","192226","2","192226801","0"
"349","220724","3","220724801","377"
"351","145999","1","145999801","414"
"351","154892","2","154892801","951"
"361","5817","1","58178001","2113"
"361","161429","2","161429801","745"
"362","5841","1","58418001","7203"
"362","220370","2","220370801","257"
"363","122731","1","122731801","798"
"363","136155","2","136155801","875"
"366","135640","1","135640801","0"
"366","136157","2","136157801","129"
"367","2510","1","25100208","1637"
"367","107606","2","107606801","0"
"369","5128","1","51288001","395"
"369","171412","2","171412801","607"
"370","2510","1","25100208","2122"
"370","101486","2","101486801","137"
"371","2510","1","25100208","2234"
"371","114858","2","114858801","0"
"372","5882","1","58828001","1260"
"372","114858","2","114858801","232"
"376","2510","1","25100207","4011"
"376","176780","2","176780801","17"
"378","112240","1","112240801","1333"
"378","135795","2","135795801","917"
"378","198902","3","198902801","403"
"379","2080","1","20808001","1705"
"379","143205","2","143205801","0"
"380","2080","1","20808001","2865"
"380","101184","2","101184801","74"
"381","2080","1","20808001","2482"
"381","135795","2","135795801","1340"
"382","5005","1","50058001","739"
"382","180330","2","180330801","0"
"383","5005","1","50058001","884"
"383","194419","2","194419801","224"
"386","5817","1","58178001","3378"
"386","192891","2","192891801","252"
"389","5603","1","56038001","4976"
"389","5817","2","58178001","6250"
"389","134782","3","134782801","726"
"390","5898","1","58988001","1617"
"390","5998","2","59988001","2063"
"391","5699","1","56998001","1171"
"391","124191","2","124191801","561"
"392","5817","1","58178001","5484"
"392","221307","2","221307801","0"
"393","5898","1","58988001","2572"
"393","172187","2","172187801","0"
"394","2040","1","20400201","3020"
"394","224430","2","224430801","4153"
"395","2400","1","24008004","5192"
"395","190090","2","190090801","538"
"397","5878","1","58788001","53"
"397","186537","2","186537801","1144"
"398","5861","1","58618001","1127"
"398","108163","2","108163801","2564"
"399","5861","1","58618001","737"
"399","198911","2","198911801","1639"
"400","5861","1","58618001","1001"
"400","159815","2","159815801","746"
"401","5861","1","58618001","896"
"401","206116","2","206116801","77"
"402","2130","1","21300201","2798"
"402","186539","2","186539801","1003"
"403","2130","1","21300201","2502"
"403","147247","2","147247801","1167"
"404","5603","1","56038001","4605"
"404","148970","2","148970801","113"
"405","120594","1","120594801","0"
"405","158530","2","158530801","158"
"406","5205","1","52058002","2780"
"406","5971","2","59718001","1821"
"406","125701","3","125701801","0"
"406","158533","4","158533801","0"
"407","108964","1","108964801","0"
"407","158530","2","158530801","800"
"410","2400","1","24000202","8240"
"410","171138","2","171138801","0"
"410","260330","3","260330801","818"
"411","5860","1","58608001","1000"
"411","187390","2","187390801","1819"
"412","201130","1","201130801","749"
"412","215551","2","215551801","2271"
"414","196993","1","196993801","228"
"414","228818","2","228818801","404"
"419","2400","1","24008002","11585"
"419","191284","2","191284801","515"
"420","5818","1","58188001","890"
"420","181233","2","181233801","0"
"421","5743","1","57438001","541"
"421","151855","2","151855801","0"
"422","5874","1","58748002","12076"
"422","176487","2","176487801","411"
"424","2320","1","23208001","2320"
"424","2400","2","24008002","14568"
"424","5221","3","52218001","0"
"424","5363","4","53638002","3695"
"427","5809","1","58098001","9351"
"427","5947","2","59478001","3183"
"429","194172","1","194172801","464"
"429","222021","2","222021801","1173"
"430","5809","1","58098001","13695"
"430","142087","2","142087801","1100"
"430","230122","3","230122801","0"
"431","5809","1","58098001","13535"
"431","122928","2","122928801","0"
"433","139229","1","139229801","718"
"433","261001","2","261001801","748"
"435","2720","1","27208003","21652"
"435","243100","2","243100801","0"
"436","2720","1","27208003","22341"
"436","136792","2","136792801","100"
"436","216698","3","216698801","0"
"437","2720","1","27208003","23020"
"437","151812","2","151812801","0"
"437","171857","3","171857801","1788"
"439","2720","1","27208003","23557"
"439","5772","2","57728001","1660"
"439","260255","3","260255801","0"
"443","5776","1","57768001","2302"
"443","187349","2","187349801","840"
"446","2500","1","25000206","11546"
"446","2500","2","25000305","11546"
"446","2500","3","25008007","11546"
"446","5448","4","54488001","0"
"450","5873","1","58738001","793"
"450","194092","2","194092801","771"
"452","2500","1","25008007","7270"
"452","209857","2","209857801","854"
"452","219017","3","219017801","0"
"453","2500","1","25008007","6830"
"453","174236","2","174236801","144"
"454","104561","1","104561801","419"
"454","141590","2","141590801","1062"
"456","141590","1","141590801","1694"
"456","223275","2","223275801","243"
"460","2500","1","25008007","6132"
"460","209727","2","209727801","507"
"464","147594","1","147594801","0"
"464","219013","2","219013801","0"
"464","219014","3","219014801","0"
"464","219016","4","219016801","0"
"464","219017","5","219017801","1741"
"465","108162","1","108162801","2710"
"465","260318","2","260318801","859"
"468","5207","1","52078001","66"
"468","217521","2","217521801","88"
"469","101543","1","101543801","70"
"469","108162","2","108162801","3161"
"470","101542","1","101542801","734"
"470","146804","2","146804801","0"
"470","163160","3","163160801","0"
"471","5084","1","50848001","330"
"471","5602","2","56028001","238"
"471","5763","3","57638001","0"
"474","151466","1","151466801","342"
